type,entry_price,stop_loss,take_profit,position_size,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl_points,pnl_currency,exit_reason
BUY,2085.07,2080.2714613564876,2094.667077287025,20.76,2094.667077287025,2024-03-04 01:00:00,closed,False,False,0,2080.2714613564876,2024-03-04 03:30:00,-4.798538643512529,-99.61766223932011,SL/TP
BUY,2085.85,2082.480142260434,2092.589715479132,29.26,2092.589715479132,2024-03-04 11:30:00,closed,False,False,0,2082.480142260434,2024-03-04 13:30:00,-3.3698577395657594,-98.60203745969413,SL/TP
BUY,2085.37,2085.87,2108.9399255729627,8.45,2108.9399255729627,2024-03-01 20:00:00,closed,True,False,0,2108.9399255729627,2024-03-04 17:45:00,23.569925572962802,199.16587109153565,SL/TP
BUY,2099.18,2099.68,2116.6384741658085,11.18,2116.6384741658085,2024-03-04 17:00:00,closed,True,False,0,2116.6384741658085,2024-03-04 18:30:00,17.45847416580864,195.18574117374058,SL/TP
BUY,2117.27,2111.522604818891,2128.764790362218,17.67,2128.764790362218,2024-03-04 22:15:00,closed,False,False,0,2111.522604818891,2024-03-05 03:30:00,-5.747395181108914,-101.55647285019451,SL/TP
BUY,2117.81,2114.2742121513324,2124.881575697335,28.44,2124.881575697335,2024-03-05 07:30:00,closed,False,False,0,2114.2742121513324,2024-03-05 09:15:00,-3.5357878486674963,-100.5578064161036,SL/TP
BUY,2126.77,2121.6436533303745,2137.022693339251,19.42,2137.022693339251,2024-03-05 13:00:00,closed,False,False,0,2121.6436533303745,2024-03-05 14:15:00,-5.126346669625491,-99.55365232412704,SL/TP
BUY,2115.38,2115.88,2129.350746463092,14.54,2129.350746463092,2024-03-04 20:45:00,closed,True,False,0,2129.350746463092,2024-03-05 15:15:00,13.970746463091928,203.13465357335662,SL/TP
BUY,2117.38,2117.88,2141.773173896744,8.33,2141.773173896744,2024-03-04 18:30:00,closed,True,False,0,2141.773173896744,2024-03-05 15:30:00,24.393173896743974,203.1951385598773,SL/TP
BUY,2130.85,2131.35,2148.634667212937,11.54,2148.634667212937,2024-03-05 19:45:00,closed,True,False,0,2148.634667212937,2024-03-06 16:45:00,17.784667212937165,205.23505963729488,SL/TP
BUY,2135.04,2135.54,2165.0151318875983,6.85,2165.0151318875983,2024-03-05 17:00:00,closed,True,False,0,2135.54,2024-03-06 17:00:00,0.5,3.425,SL/TP
BUY,2140.16,2140.66,2164.649817159317,8.55,2164.649817159317,2024-03-06 17:30:00,closed,True,False,0,2140.66,2024-03-06 21:30:00,0.5,4.275,SL/TP
BUY,2148.07,2148.57,2173.5407763181533,8.22,2173.5407763181533,2024-03-06 18:45:00,closed,True,False,0,2148.57,2024-03-07 16:30:00,0.5,4.11,SL/TP
BUY,2155.33,2149.8511239672057,2166.287752065589,19.12,2166.287752065589,2024-03-07 08:45:00,closed,False,False,0,2149.8511239672057,2024-03-07 16:30:00,-5.478876032794233,-104.75610974702573,SL/TP
BUY,2145.07,2145.57,2169.3616052657035,8.62,2169.3616052657035,2024-03-06 18:30:00,closed,True,False,0,2169.3616052657035,2024-03-08 11:45:00,24.29160526570331,209.39363739036253,SL/TP
BUY,2169.0,2164.2505992162055,2178.498801567589,22.28,2178.498801567589,2024-03-08 11:45:00,closed,False,False,0,2164.2505992162055,2024-03-08 15:15:00,-4.749400783794499,-105.81664946294144,SL/TP
BUY,2170.0,2170.5,2200.659818127258,6.83,2200.659818127258,2024-03-08 17:15:00,closed,True,False,0,2170.5,2024-03-08 21:00:00,0.5,3.415,SL/TP
BUY,2184.94,2168.2039815694243,2218.412036861152,6.26,2218.412036861152,2024-03-08 19:45:00,closed,False,False,0,2168.2039815694243,2024-03-12 14:15:00,-16.73601843057577,-104.7674753754043,SL/TP
BUY,2184.94,2168.2039815694243,2218.412036861152,6.26,2218.412036861152,2024-03-08 19:45:00,closed,False,False,0,2168.2039815694243,2024-03-12 14:15:00,-16.73601843057577,-104.7674753754043,SL/TP
BUY,2174.52,2170.050140044973,2183.4597199100535,23.11,2183.4597199100535,2024-03-13 22:15:00,closed,False,False,0,2170.050140044973,2024-03-14 07:00:00,-4.469859955027005,-103.29846356067408,SL/TP
BUY,2174.58,2169.7055145116656,2184.3289709766686,21.19,2184.3289709766686,2024-03-13 21:15:00,closed,False,False,0,2169.7055145116656,2024-03-14 07:45:00,-4.874485488334358,-103.29034749780504,SL/TP
