type,entry_price,stop_loss,take_profit,initial_tp,entry_time,status,breakeven_applied,tp_extended,trailing_steps,exit_price,exit_time,pnl,exit_reason
SELL,1789.93,1827.93,1731.93,1731.93,2021-12-29 15:45:00,closed,False,False,0,1827.93,2021-12-31 20:15:00,-38.0,SL/TP
BUY,1805.39,1805.89,1863.39,1863.39,2021-12-29 20:15:00,closed,True,False,0,1805.89,2022-01-03 15:45:00,0.5,SL/TP
BUY,1805.9,1806.4,1863.9,1863.9,2021-12-30 17:00:00,closed,True,False,0,1806.4,2022-01-03 15:45:00,0.5,SL/TP
BUY,1825.94,1787.94,1883.94,1883.94,2021-12-31 16:30:00,closed,False,False,0,1787.94,2022-01-06 15:00:00,-38.0,SL/TP
BUY,1805.39,1805.89,1863.39,1863.39,2021-12-29 20:15:00,closed,True,False,0,1805.89,2022-01-03 15:45:00,0.5,SL/TP
BUY,1805.9,1806.4,1863.9,1863.9,2021-12-30 17:00:00,closed,True,False,0,1806.4,2022-01-03 15:45:00,0.5,SL/TP
SELL,1804.06,1803.56,1746.06,1746.06,2022-01-04 03:15:00,closed,True,False,0,1803.56,2022-01-06 12:30:00,0.5,SL/TP
BUY,1825.94,1787.94,1883.94,1883.94,2021-12-31 16:30:00,closed,False,False,0,1787.94,2022-01-06 15:00:00,-38.0,SL/TP
BUY,1828.49,1790.49,1886.49,1886.49,2022-01-03 01:45:00,closed,False,False,0,1790.49,2022-01-06 15:00:00,-38.0,SL/TP
BUY,1826.77,1788.77,1884.77,1884.77,2022-01-03 04:30:00,closed,False,False,0,1788.77,2022-01-06 15:00:00,-38.0,SL/TP
SELL,1796.2,1795.7,1738.2,1738.2,2022-01-06 14:30:00,closed,True,False,0,1795.7,2022-01-07 15:30:00,0.5,SL/TP
SELL,1801.72,1801.22,1743.72,1743.72,2022-01-03 21:45:00,closed,True,False,0,1801.22,2022-01-10 13:15:00,0.5,SL/TP
SELL,1789.0,1827.0,1731.0,1731.0,2022-01-06 17:30:00,closed,False,False,0,1827.0,2022-01-12 19:30:00,-38.0,SL/TP
SELL,1789.22,1827.22,1731.22,1731.22,2022-01-06 22:15:00,closed,False,False,0,1827.22,2022-01-12 20:15:00,-38.0,SL/TP
SELL,1791.58,1829.58,1733.58,1733.58,2022-01-07 07:30:00,closed,False,False,0,1829.58,2022-01-19 17:00:00,-38.0,SL/TP
SELL,1790.69,1828.69,1732.69,1732.69,2022-01-07 18:00:00,closed,False,False,0,1828.69,2022-01-14 10:00:00,-38.0,SL/TP
SELL,1801.72,1801.22,1743.72,1743.72,2022-01-03 21:45:00,closed,True,False,0,1801.22,2022-01-10 13:15:00,0.5,SL/TP
SELL,1789.0,1827.0,1731.0,1731.0,2022-01-06 17:30:00,closed,False,False,0,1827.0,2022-01-12 19:30:00,-38.0,SL/TP
SELL,1789.22,1827.22,1731.22,1731.22,2022-01-06 22:15:00,closed,False,False,0,1827.22,2022-01-12 20:15:00,-38.0,SL/TP
SELL,1790.69,1828.69,1732.69,1732.69,2022-01-07 18:00:00,closed,False,False,0,1828.69,2022-01-14 10:00:00,-38.0,SL/TP
SELL,1791.58,1829.58,1733.58,1733.58,2022-01-07 07:30:00,closed,False,False,0,1829.58,2022-01-19 17:00:00,-38.0,SL/TP
SELL,1792.93,1830.93,1734.93,1734.93,2022-01-10 15:30:00,closed,False,False,0,1830.93,2022-01-19 17:00:00,-38.0,SL/TP
BUY,1825.03,1825.53,1883.03,1883.03,2022-01-13 05:00:00,closed,True,False,0,1825.53,2022-01-26 21:00:00,0.5,SL/TP
BUY,1825.19,1825.69,1883.19,1883.19,2022-01-13 05:45:00,closed,True,False,0,1825.69,2022-01-26 21:00:00,0.5,SL/TP
BUY,1826.01,1826.51,1884.01,1884.01,2022-01-14 10:30:00,closed,True,False,0,1826.51,2022-01-19 17:00:00,0.5,SL/TP
SELL,1791.58,1829.58,1733.58,1733.58,2022-01-07 07:30:00,closed,False,False,0,1829.58,2022-01-19 17:00:00,-38.0,SL/TP
SELL,1792.93,1830.93,1734.93,1734.93,2022-01-10 15:30:00,closed,False,False,0,1830.93,2022-01-19 17:00:00,-38.0,SL/TP
